c,trun,f,value,scenario
uae,2029,NG,2427.3359016498125,C
uae,2029,Coal,81.255097185902,C
uae,2030,NG,2546.123483540445,C
uae,2030,Coal,77.75974389412465,C
qat,2015,NG,351.1149814105679,C
qat,2016,NG,376.7647288962918,C
qat,2017,NG,383.9953291320822,C
qat,2018,NG,411.1187483676706,C
qat,2019,NG,559.1423573949602,C
qat,2020,NG,652.4640298030332,C
qat,2021,NG,652.7509922590862,C
qat,2022,NG,667.689004442628,C
qat,2023,NG,725.9812042051153,C
qat,2023,Coal,0.00023035051848263382,C
qat,2024,NG,800.049714473796,C
qat,2024,Coal,0.3882215075126331,C
qat,2025,NG,837.0654934507427,C
qat,2025,Coal,7.353715502778804e-05,C
qat,2026,NG,856.2616008950706,C
qat,2026,Coal,0.9770368827150379,C
qat,2027,NG,899.5026874706214,C
qat,2027,Coal,1.463476014576462,C
qat,2028,NG,991.6150752881123,C
qat,2028,Coal,0.02626829964383951,C
qat,2029,NG,1123.5943987688624,C
qat,2029,Coal,0.3804446724382174,C
qat,2030,NG,1169.9500276001277,C
qat,2030,Coal,1.6820439430577203,C
kuw,2015,HFO,157.6,C
kuw,2015,diesel,53.353594845090825,C
kuw,2015,NG,400.0,C
kuw,2015,Arablight,27.15,C
kuw,2016,HFO,163.904,C
kuw,2016,diesel,43.67911755329341,C
kuw,2016,NG,440.00000000000006,C
kuw,2016,Arablight,28.236,C
kuw,2017,HFO,157.6,C
kuw,2017,diesel,45.42430036762357,C
kuw,2017,NG,480.0,C
kuw,2017,Arablight,27.15,C
kuw,2018,HFO,160.752,C
kuw,2018,diesel,78.69164679307652,C
kuw,2018,NG,480.0,C
kuw,2018,Arablight,27.692999999999998,C
kuw,2019,HFO,162.328,C
kuw,2019,diesel,246.60000000000002,C
kuw,2019,NG,402.7549439184331,C
kuw,2019,Arablight,27.9645,C
kuw,2020,HFO,165.48,C
kuw,2020,diesel,254.82000000000002,C
kuw,2020,NG,440.4623778663822,C
kuw,2020,Arablight,28.5075,C
kuw,2021,HFO,167.056,C
kuw,2021,diesel,261.1991514319828,C
kuw,2021,NG,476.11971580333716,C
kuw,2021,Arablight,28.779000000000003,C
kuw,2022,HFO,170.208,C
kuw,2022,diesel,271.26,C
kuw,2022,NG,458.1232833775722,C
kuw,2022,Arablight,29.322,C
kuw,2023,HFO,174.936,C
kuw,2023,diesel,271.26,C
kuw,2023,NG,513.7607816650747,C
kuw,2023,Arablight,30.1365,C
kuw,2023,Coal,1.8358089599396716,C
kuw,2024,HFO,181.23999999999998,C
kuw,2024,diesel,271.25999999999993,C
kuw,2024,NG,582.6972717427085,C
kuw,2024,Arablight,31.222499999999997,C
kuw,2024,Coal,1.9026944082827768,C
kuw,2025,HFO,187.54399999999998,C
kuw,2025,diesel,271.26,C
kuw,2025,NG,624.1795389557965,C
kuw,2025,Arablight,32.308499999999995,C
kuw,2025,Coal,7.317868086450235e-05,C
kuw,2026,HFO,192.272,C
kuw,2026,diesel,271.26,C
kuw,2026,NG,680.0,C
kuw,2026,Arablight,33.123,C
kuw,2026,Coal,0.9668929496483204,C
kuw,2027,HFO,198.576,C
kuw,2027,diesel,271.26,C
kuw,2027,NG,680.0,C
kuw,2027,Arablight,34.208999999999996,C
kuw,2027,Coal,1.4612678212124002,C
kuw,2028,HFO,203.304,C
kuw,2028,diesel,271.26,C
kuw,2028,NG,720.0,C
kuw,2028,Arablight,35.0235,C
kuw,2028,Coal,6.109082789596939,C
kuw,2029,HFO,208.032,C
kuw,2029,diesel,271.26,C
kuw,2029,NG,720.0,C
kuw,2029,Arablight,35.838,C
kuw,2029,Coal,16.04906353776962,C
kuw,2030,HFO,212.76000000000002,C
kuw,2030,diesel,271.26,C
kuw,2030,NG,760.0,C
kuw,2030,Arablight,36.652499999999996,C
kuw,2030,Coal,29.42152542141745,C
bah,2015,NG,128.72424337809395,C
bah,2016,NG,137.30862359009438,C
bah,2017,NG,143.03452190963108,C
bah,2018,NG,148.76042022916786,C
bah,2019,diesel,69.16340750674152,C
bah,2019,NG,120.21400164146876,C
bah,2020,diesel,212.8477296627799,C
bah,2020,NG,285.9713576669236,C
bah,2021,diesel,201.63271262356298,C
bah,2021,NG,280.0830074649122,C
bah,2022,diesel,190.3485264736133,C
bah,2022,NG,264.47811547547974,C
bah,2023,diesel,179.4533702191047,C
bah,2023,NG,239.74973379608974,C
bah,2024,diesel,210.7927249344631,C
bah,2024,NG,273.62623286544596,C
bah,2025,diesel,212.85759852661474,C
bah,2025,NG,281.914779660504,C
bah,2026,diesel,233.83319924978,C
bah,2026,NG,301.4378334303959,C
bah,2026,Coal,0.9849768805153541,C
bah,2027,diesel,262.4950252621295,C
bah,2027,NG,345.09042558551596,C
bah,2027,Coal,1.468166996510199,C
bah,2028,diesel,257.1804259346619,C
bah,2028,NG,333.70359475525345,C
bah,2028,Coal,0.0009495729050060676,C
bah,2029,diesel,276.8526990254229,C
bah,2029,NG,484.7784397535292,C
bah,2029,Coal,1.8390281645566868,C
bah,2030,diesel,316.68816813302755,C
bah,2030,NG,558.4653616690615,C
omn,2015,NG,281.7467875703302,C
omn,2016,NG,299.50930375081975,C
omn,2017,NG,308.74528164247124,C
omn,2018,NG,320.5869590961301,C
omn,2019,NG,501.3498615746048,C
omn,2020,NG,681.6883271544116,C
omn,2021,NG,608.0003046172886,C
omn,2022,NG,656.8850550116408,C
omn,2023,NG,729.0355027525006,C
omn,2024,NG,739.9596034061982,C
omn,2025,NG,750.0586832009548,C
omn,2026,NG,766.9534821602888,C
omn,2026,Coal,0.9591424046614486,C
omn,2027,NG,768.3230562901554,C
omn,2027,Coal,1.470148880621305,C
omn,2028,NG,766.1327633825879,C
omn,2029,NG,788.379796060725,C
omn,2029,Coal,1.8512612630060101,C
omn,2030,NG,827.8716550040265,C
ksa,2015,HFO,390.5919,D
ksa,2015,diesel,451.5337242,D
ksa,2015,NG,1250.51076156,D
ksa,2015,Arablight,1447.5689306011434,D
ksa,2016,HFO,624.94704,D
ksa,2016,diesel,397.349677296,D
ksa,2016,NG,1375.561837716,D
ksa,2016,Arablight,1363.2265429306306,D
ksa,2017,HFO,898.3613699999999,D
ksa,2017,diesel,370.25765384400006,D
ksa,2017,NG,1451.7552292015348,D
ksa,2017,Arablight,937.1815838218831,D
ksa,2018,HFO,1015.5389399999999,D
ksa,2018,diesel,343.165630392,D
ksa,2018,NG,1550.7823877634507,D
ksa,2018,Arablight,834.0287851626106,D
ksa,2019,HFO,1144.2533615779753,D
ksa,2019,diesel,282.789467134521,D
ksa,2019,NG,1549.8948630459327,D
ksa,2019,Arablight,1114.5592046980462,D
ksa,2020,HFO,1169.5119024961566,D
